userid,studyid,stage,session,year,month,day,hour,minute,second,millisecond,datum,code
4,1,1,1,2010,8,4,17,10,21,44,Consent given,CON
4,1,1,1,2010,8,4,17,10,21,100,session completed,ssc
4,1,2,1,2010,8,4,17,10,34,703,SON,1,bog
4,1,2,1,2010,8,4,17,10,44,84,LIT,1,bog
4,1,2,1,2010,8,4,17,10,44,952,TIL,1,bog
4,1,2,1,2010,8,4,17,10,50,648,TOIL,1,bog
4,1,2,1,2010,8,4,17,10,55,313,HTHT,0,bog
4,1,2,1,2010,8,4,17,11,8,50,NIT,1,bog
4,1,2,1,2010,8,4,17,11,9,72,TIN,1,bog
4,1,2,1,2010,8,4,17,11,10,602,ASH,1,bog
4,1,2,1,2010,8,4,17,11,14,740,WIN,1,bog
4,1,2,1,2010,8,4,17,11,16,326,WIT,1,bog
4,1,2,1,2010,8,4,17,11,23,859,BIT,1,bog
4,1,2,1,2010,8,4,17,11,33,296,SASH,1,bog
4,1,2,1,2010,8,4,17,11,41,985,session completed,ssc
4,1,2,2,2010,8,4,17,12,10,92,SAT,1,bog
4,1,2,2,2010,8,4,17,12,16,330,RESAT,0,bog
4,1,2,2,2010,8,4,17,12,20,897,WIN,1,bog
4,1,2,2,2010,8,4,17,12,25,165,PIN,1,bog
4,1,2,2,2010,8,4,17,12,25,665,PAR,1,bog
4,1,2,2,2010,8,4,17,12,27,986,PAR,0,bog
4,1,2,2,2010,8,4,17,12,30,595,SEAT,1,bog
4,1,2,2,2010,8,4,17,12,43,386,LSE,0,bog
4,1,2,2,2010,8,4,17,12,46,237,LOSE,1,bog
4,1,2,2,2010,8,4,17,12,50,101,ROSE,1,bog
4,1,2,2,2010,8,4,17,12,52,105,SORE,1,bog
4,1,2,2,2010,8,4,17,13,8,298,TERSE,2,bog
4,1,2,2,2010,8,4,17,13,14,665,session completed,ssc
